Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
SOC,Sable Offshore Corp.,24.1,USD,2.2486211285532502,729197,0.43976704553609886,1568679601,USD,,-10.6257,USD,-16676.75507020281,0,Energy minerals,Strong buy
MAYS,"J. W. Mays, Inc.",45.98,USD,5.7011494252873485,624,1.8034682080924855,92685563.37251396,USD,,-0.2597,USD,-14327.777777777777,0,Finance,
MLAB,"Mesa Laboratories, Inc.",127.72,USD,0.05483744614178862,16518,0.5044187793541925,690858304.9999999,USD,,-46.409,USD,-13789.970501474925,0.501096,Health technology,Neutral
ECPG,Encore Capital Group Inc,47.08,USD,-0.38087177316969895,125254,0.7117396065185879,1115370257,USD,,-8.3264,USD,-13708.291873963515,0,Finance,Buy
MNOIY,Mandarin Oriental International Ltd.,16.15,USD,0.6230529595015444,250,0.8716875871687587,2135838040,USD,,-2.7523,USD,-9135.906040268455,2.60355,Consumer services,
QDEL,QuidelOrtho Corporation,45.55,USD,3.1009506564056077,525837,0.5957709133110081,3062571950,USD,,-27.7878,USD,-4258.60520802155,0,Health technology,Buy
CNNE,"Cannae Holdings, Inc.",19.21,USD,0.1564129301355638,226210,0.5145826082406921,1205132489,USD,,-6.7765,USD,-4114.241293532338,0.624675,Consumer services,Strong buy
CABGY,Carlsberg AS,24.41,USD,2.865571007163926,44176,0.39044878276425293,17455635657.699097,USD,,-8.6349,USD,-3307.616416732439,2.18593,Consumer non-durables,Buy
RDUS,"Radius Recycling, Inc.",19.05,USD,-0.8328995314940142,357279,1.2693382958744632,534151553.00000006,USD,,-9.7154,USD,-2970.9810874704494,3.93701,Non-energy minerals,Neutral
KVYO,"Klaviyo, Inc. Series A",35.2,USD,-0.05678591709254975,595796,0.49398442653478625,9386917781,USD,,-1.4066,USD,-2880.084745762712,0,Technology services,Strong buy
CABJF,Carlsberg AS,119.4999,USD,2.884203946796333,1180,0.8832996481772587,17063399884.458988,USD,,-42.640949860000006,USD,-2836.08506634981,3.29751,Consumer non-durables,Buy
UNBLF,Unibail-Rodamco SE,87.03,USD,2.328042328042333,30,0.06285355122564425,12287997488.79,USD,,-7.8623421360000005,USD,-2356.3112368708025,3.16456,Finance,Buy
RUN,Sunrun Inc.,18.5,USD,-0.32327586206895864,5718351,0.7692116368685178,4135484230.0000005,USD,,-6.3775,USD,-1806.582820444207,0,Electronic technology,Buy
