Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Index
TPX.l,TPXIMPACT HOLDINGS PLC ORD GBP0.01,33.825,GBX,-1.9565217391304300,4614,0.17211986466171000,31795046,GBP,,-0.2226,GBP,-18650.000000000000,0,Technology services,Strong buy,FTSE AIM All-Share
DBOX.l,DIGITALBOX PLC ORD GBP0.01,3.66,GBX,4.571428571428580,1393,0.005299342470672910,4127319,GBP,,-0.055,GBP,-7957.142857142860,0,Commercial services,Strong buy,FTSE AIM All-Share
NAR.l,NORTHAMBER ORD GBP0.01,36,GBX,0,122,0.5916585838991270,9868826,GBP,,-0.0211,GBP,-6933.333333333330,1.66667,Distribution services,,FTSE AIM All-Share
CRST.l,CREST NICHOLSON HLDGS PLC ORD GBP0.05,195.3,GBX,1.0869565217391400,118156,0.1514672735134430,496013033,GBP,,-0.1037,GBP,-4613.636363636360,8.79917,Consumer durables,Neutral,"FTSE 250, FTSE All-Share, FTSE 350"
BGO.l,BANGO ORD GBP0.20,111.66,GBX,2.9124423963133600,128015,1.6353224018027300,83336897,GBP,,-0.0925,GBP,-3089.655172413790,0,Technology services,Strong buy,FTSE AIM All-Share
BOO.l,BOOHOO GROUP PLC ORD GBP0.01,29.942,GBX,0.6115591397849420,1135386,0.6485622977644830,377679504,GBP,,-0.1182,GBP,-3010.5263157894700,0,Retail trade,Sell,"FTSE AIM All-Share, FTSE AIM 100"
WG.l,JOHN WOOD GROUP PLC ORD GBP0.0428571,127.1,GBX,-0.8580343213728510,49668,0.014053061653634700,867699256,GBP,,-1.2336,GBP,-2837.142857142860,0,Commercial services,Buy,"FTSE 250, FTSE All-Share, FTSE 350"
DXRX.l,DIACEUTICS PLC ORD GBP0.002,133.42,GBX,-0.05992509363296820,5000,0.013247338675896700,112710367,GBP,,-0.0337,GBP,-2346.666666666670,0,Health technology,Strong buy,FTSE AIM All-Share
NEXS.l,NEXUS INFRASTRUCTURE PLC ORD GBP0.02,131,GBX,-2.2388059701492500,723,0.0018624429997130300,12105971,GBP,,-1.1444,GBP,-2083.362218370880,2.23881,Industrial services,,FTSE AIM All-Share
AFRN.l,AFERIAN PLC ORD GBP0.01,2.5,GBX,0,544,0.017219821787506100,2780297,GBP,,-0.5269,GBP,-1810.7142857142900,0,Technology services,,FTSE AIM All-Share
SOUC.l,SOUTHERN ENERGY CORP COM NPV (POST REV SPLIT),8,GBX,0,0,0,13872288.407612400,GBP,,-0.24233371035355500,GBP,-1632.8328370889200,0,Energy minerals,Buy,FTSE AIM All-Share
STAF.l,STAFFLINE GROUP ORD GBP0.10,30.019,GBX,-1.4154351395730700,31,0.00010505899740504300,40740411,GBP,,-0.1367,GBP,-1602.1978021978000,0,Commercial services,Strong buy,FTSE AIM All-Share
IPO.l,IP GROUP ORD GBP0.02,49.0331,GBX,-1.1429435483871000,485225,0.13638349670449300,493964103,GBP,,-0.2156,GBP,-1597.2222222222200,0,Commercial services,Strong buy,"FTSE 250, FTSE All-Share, FTSE 350"
SYS.l,SYSGROUP PLC ORD GBP0.01,34,GBX,0,25000,4.858425481469970,28204257,GBP,,-0.1206,GBP,-1486.2068965517200,0,Technology services,,FTSE AIM All-Share
SHI.l,SIG ORD GBP0.10,19.55,GBX,0.25641025641026000,262183,0.5021216109381510,230403608,GBP,,-0.0539,GBP,-1356.7567567567600,0,Distribution services,Neutral,FTSE All-Share
ACP.l,ARMADALE CAPITAL PLC ORD GBP0.001,0.328,GBX,19.27272727272730,82565,0.14887741041119500,1812136,GBP,,-0.01,GBP,-1328.5714285714300,0,Non-energy minerals,,FTSE AIM All-Share
MRL.l,MARLOWE PLC ORD GBP0.5,314.4,GBX,-0.1904761904761980,56805,0.05727729713673010,277211760,GBP,,-0.1061,GBP,-1130.0970873786400,0,Commercial services,Strong buy,"FTSE AIM All-Share, FTSE AIM 100"
ELM.l,ELEMENTIS ORD GBP0.05,161.6,GBX,-0.9803921568627420,21781,0.019278401322129600,961449293,GBP,,-0.0514,GBP,-1068.1818181818200,1.53799,Process industries,Buy,"FTSE 250, FTSE All-Share, FTSE 350"
XLM.l,XLMEDIA PLC ORD USD0.000001,10,GBX,2.564102564102560,855289,11.113321474467100,25645496,GBP,,-0.1429,GBP,-998.7421383647800,0,Commercial services,,FTSE AIM All-Share
WINE.l,NAKED WINES PLC ORD GBP0.075,53.9,GBX,1.890359168241970,12739,0.08536750445969650,39146108,GBP,,-0.2822,GBP,-987.4213836477990,0,Consumer non-durables,Buy,FTSE AIM All-Share
HRN.l,HORNBY PLC ORD GBP0.01,20.06,GBX,-6.697674418604660,8500,0.5999393002590330,36518559,GBP,,-0.071,GBP,-945.2380952380950,0,Consumer durables,,FTSE AIM All-Share
ZOO.l,ZOO DIGITAL GROUP ORD GBP0.01,37,GBX,-1.3333333333333300,90958,0.1886730615573920,36708086,GBP,,-0.1795,GBP,-938.785046728972,0,Consumer services,Strong buy,FTSE AIM All-Share
TBLD.l,TINYBUILD INC COM SHS USD0.001 (DI),4.085,GBX,-0.9696969696969710,221464,1.7781731700306200,8409978,GBP,,-0.2467,GBP,-922.3333333333340,0,Technology services,Sell,FTSE AIM All-Share
DIS.l,DISTIL PLC ORD GBP0.001,0.139,GBX,6.923076923076930,730764,0.1267106432751130,1294313,GBP,,-0.0016,GBP,-900,0,Consumer non-durables,,FTSE AIM All-Share
