Symbol,Sector,Industry,,,
3IN.l,Finance,Investment managers,,,
4GBL.l,Technology services,Information technology services,,,
88E.l,Energy minerals,Integrated oil,,,
AAF.l,Communications,Wireless telecommunications,,,
AAIF.l,Miscellaneous,Investment trusts/Mutual funds,,,
AAS.l,Miscellaneous,Investment trusts/Mutual funds,,,
AAU.l,Non-energy minerals,Precious metals,,,
AAZ.l,Non-energy minerals,Precious metals,,,
ABDN.l,Finance,Investment managers,,,
ABDP.l,Electronic technology,Electronic equipment/Instruments,,,
ABDX.l,Health technology,Medical specialties,,,
ABF.l,Consumer non-durables,Food: major diversified,,,
ACRM.l,Technology services,Packaged software,,,
ACSO.l,Technology services,Packaged software,,,
ADF.l,Finance,Finance/Rental/Leasing,,,
ADIG.l,Miscellaneous,Investment trusts/Mutual funds,,,
ADVT.l,Finance,Investment managers,,,
AET.l,Energy minerals,Oil & gas production,,,
AEWU.l,Finance,Real estate investment trusts,,,
AFC.l,Electronic technology,Electronic production equipment,,,
AFN.l,Technology services,Data processing services,,,
AGFX.l,Finance,Investment banks/Brokers,,,
AGT.l,Miscellaneous,Investment trusts/Mutual funds,,,
AIE.l,Miscellaneous,Investment trusts/Mutual funds,,,
AIEA.l,Consumer durables,Home furnishings,,,
AJB.l,Finance,Investment managers,,,
AJOT.l,Miscellaneous,Investment trusts/Mutual funds,,,
ALBA.l,Non-energy minerals,Precious metals,,,
ALFA.l,Technology services,Packaged software,,,
ALPH.l,Finance,Regional banks,,,
ALU.l,Producer manufacturing,Building products,,,
AML.l,Consumer durables,Motor vehicles,,,
AMRQ.l,Non-energy minerals,Precious metals,,,
ANCR.l,Health technology,Pharmaceuticals: other,,,
ANG.l,Retail trade,Specialty stores,,,
ANGS.l,Energy minerals,Oil & gas production,,,
ANIC.l,Finance,Investment managers,,,
ANII.l,Miscellaneous,Investment trusts/Mutual funds,,,
ANP.l,Process industries,Agricultural commodities/Milling,,,
ANTO.l,Non-energy minerals,Other metals/Minerals,,,
APAX.l,Finance,Investment managers,,,
APTA.l,Health technology,Biotechnology,,,
APTD.l,Technology services,Packaged software,,,
AQX.l,Finance,Investment banks/Brokers,,,
ARGO.l,Finance,Investment managers,,,
ARK.l,Non-energy minerals,Other metals/Minerals,,,
ARS.l,Non-energy minerals,Other metals/Minerals,,,
ARV.l,Non-energy minerals,Precious metals,,,
ASCL.l,Commercial services,Miscellaneous commercial services,,,
ASHM.l,Finance,Investment managers,,,
ASL.l,Miscellaneous,Investment trusts/Mutual funds,,,
ASLI.l,Finance,Real estate investment trusts,,,
AST.l,Energy minerals,Oil & gas production,,,
ASTO.l,Finance,Investment managers,,,
ASY.l,Industrial services,Engineering & construction,,,
ATG.l,Technology services,Internet software/Services,,,
ATM.l,Non-energy minerals,Other metals/Minerals,,,
ATST.l,Miscellaneous,Investment trusts/Mutual funds,,,
ATT.l,Miscellaneous,Investment trusts/Mutual funds,,,
AUK.l,Industrial services,Engineering & construction,,,
AUSC.l,Miscellaneous,Investment trusts/Mutual funds,,,
AUTG.l,Producer manufacturing,Auto parts: OEM,,,
AUTO.l,Technology services,Internet software/Services,,,
AVCT.l,Commercial services,Miscellaneous commercial services,,,
AVG.l,Producer manufacturing,Industrial machinery,,,
AVON.l,Health technology,Medical specialties,,,
AYM.l,Non-energy minerals,Other metals/Minerals,,,
B90.l,Consumer services,Movies/Entertainment,,,
BAG.l,Consumer non-durables,Beverages: non-alcoholic,,,
BAKK.l,Consumer non-durables,Food: specialty/candy,,,
BARC.l,Finance,Investment banks/Brokers,,,
BASC.l,Miscellaneous,Investment trusts/Mutual funds,,,
BATS.l,Consumer non-durables,Tobacco,,,
BBB.l,Communications,Specialty telecommunications,,,
BBOX.l,Miscellaneous,Investment trusts/Mutual funds,,,
BBSN.l,Commercial services,Advertising/Marketing services,,,
BCPT.l,Finance,Real estate investment trusts,,,
BDEV.l,Consumer durables,Homebuilding,,,
BEG.l,Commercial services,Miscellaneous commercial services,,,
BEM.l,Non-energy minerals,Precious metals,,,
BERI.l,Miscellaneous,Investment trusts/Mutual funds,,,
BEZ.l,Finance,Multi-line insurance,,,
BGCG.l,Miscellaneous,Investment trusts/Mutual funds,,,
BGEO.l,Finance,Major banks,,,
BGEU.l,Miscellaneous,Investment trusts/Mutual funds,,,
BGFD.l,Miscellaneous,Investment trusts/Mutual funds,,,
BGO.l,Technology services,Packaged software,,,
BGUK.l,Miscellaneous,Investment trusts/Mutual funds,,,
BHL.l,Non-energy minerals,Other metals/Minerals,,,
BHMG.l,Miscellaneous,Investment trusts/Mutual funds,,,
BIG.l,Electronic technology,Computer communications,,,
BILN.l,Industrial services,Engineering & construction,,,
BIOG.l,Miscellaneous,Investment trusts/Mutual funds,,,
BIOM.l,Producer manufacturing,Miscellaneous manufacturing,,,
BIPS.l,Miscellaneous,Investment trusts/Mutual funds,,,
BKG.l,Finance,Real estate development,,,
BKS.l,Technology services,Data processing services,,,
BLOE.l,Energy minerals,Oil & gas production,,,
BLU.l,Finance,Financial conglomerates,,,
BNKR.l,Miscellaneous,Investment trusts/Mutual funds,,,
BNZL.l,Distribution services,Wholesale distributors,,,
BOD.l,Non-energy minerals,Other metals/Minerals,,,
BOKU.l,Technology services,Packaged software,,,
BOO.l,Retail trade,Apparel/Footwear retail,,,
BOR.l,Energy minerals,Oil & gas production,,,
BOY.l,Electronic technology,Aerospace & defense,,,
BPM.l,Finance,Investment managers,,,
BRBY.l,Consumer non-durables,Apparel/Footwear,,,
